"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"ENSMUSG00000023959",4.66849029286258,5.09392138922917,246.307641296771,2.41493405797208e-08,0.000210234337129224,"Clic5"
"ENSMUSG00000029428",2.33859362727593,4.21175240873881,224.602835673925,3.75183969178593e-08,0.000210234337129224,"Stx2"
"ENSMUSG00000000708",2.05843183225991,4.65079549231369,205.635438265664,5.7153346089368e-08,0.000213505849874515,"Kat2b"
"ENSMUSG00000040298",3.14499029938031,1.8729847875994,182.708459526056,1.0170178694743e-07,0.000232377337359529,"Btbd16"
"ENSMUSG00000034854",1.9587488651105,4.24048683040661,179.107397261836,1.10119569832012e-07,0.000232377337359529,"Mfsd12"
"ENSMUSG00000004207",1.96080052831964,9.86976049615527,173.240448174682,1.2887320996214e-07,0.000232377337359529,"Psap"
"ENSMUSG00000027219",1.75722005763928,5.51226359366528,163.231668190186,1.70652080955529e-07,0.000232377337359529,"Slc28a2"
"ENSMUSG00000001930",1.79373294874657,4.50471968450015,161.647714207675,1.78710077234384e-07,0.000232377337359529,"Vwf"
"ENSMUSG00000064147",-2.40720045604626,7.9428690517736,160.160873379586,1.86615154478073e-07,0.000232377337359529,"Rab44"
"ENSMUSG00000060445",-1.65122797003588,6.12546112470584,154.489254387335,2.21090492104266e-07,0.000247776114501251,"Sycp2"
"ENSMUSG00000012848",1.79788855188288,5.33756337669968,146.488888971741,2.83717883749888e-07,0.000289056938471364,"Rps5"
"ENSMUSG00000001482",1.74758998415791,5.57279764682241,138.211428581265,3.72375425899406e-07,0.000332966495923423,"Def8"
"ENSMUSG00000035385",3.32745724522243,2.97168247045426,137.232019025118,3.86237570001294e-07,0.000332966495923423,"Ccl2"
"ENSMUSG00000002728",2.25244336996964,3.36039238568252,132.535664533703,4.53108790178094e-07,0.000357033636637745,"Naa20"
"ENSMUSG00000017405",-1.95105562247202,4.52552217476256,131.011958034646,4.77871379456248e-07,0.000357033636637745,"Nek8"
"ENSMUSG00000021143",1.564557443054,4.97172175841184,126.935472585091,5.53369293585868e-07,0.000364728852885499,"Pacs2"
"ENSMUSG00000048327",-1.55014773680472,5.37368103563801,125.207562558432,5.89697736396358e-07,0.000364728852885499,"Ckap2l"
"ENSMUSG00000094796",4.08438568131175,1.11802776356939,126.295784247592,6.21869427465852e-07,0.000364728852885499,"Tcstv4"
"ENSMUSG00000028341",-1.82784985707902,9.48555984591704,122.914166884505,6.42444475803884e-07,0.000364728852885499,"Nr4a3"
"ENSMUSG00000005575",1.73106208869,5.94525920208131,122.176045677061,6.60617687418729e-07,0.000364728852885499,"Ube2m"
"ENSMUSG00000022747",-1.35126429271884,7.00599321251074,121.282763588243,6.83439449504371e-07,0.000364728852885499,"St3gal6"
