"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0048002","antigen processing and presentation of peptide antigen",54,0.561975167696397,2.01757877980587,2.91849187376522e-05,0.0023089036517449,0.00208704376439713,1017,"tags=43%, list=10%, signal=38%","14129/80898/213233/66824/13040/73149/21355/269799/474145/54445/15042/21356/14991/12010/15040/15039/17476/71779/21354/110557/56495/15216/77777"
"GO:0140374","antiviral innate immune response",61,0.54562659549162,2.01836488520694,3.13223222236529e-05,0.00240056235167215,0.00216989508562543,1798,"tags=46%, list=18%, signal=38%","15958/15959/667370/23960/24110/246730/58203/20821/231655/80861/15945/71956/73945/94088/114643/71586/246728/19106/23962/230073/72512/246727/70796/15977/338467/80287/54131/637515"
"GO:0032543","mitochondrial translation",97,0.483931166485083,1.93993637771157,3.10314916366425e-05,0.00240056235167215,0.00216989508562543,2760,"tags=56%, list=28%, signal=41%","102436/94064/71989/66047/107734/18100/79044/14548/94066/75398/94065/69163/66121/118451/52856/56282/233870/60441/68463/69956/67308/68836/24030/78523/211064/66493/66077/27395/76784/68565/52469/71799/94067/27397/64657/66258/108853/94061/28028/67840/68735/27393/121022/59054/83485/68537/67707/66292/56284/52575/353242/28030/50529/107732"
"GO:0030029","actin filament-based process",476,-0.30017336685731,-1.51074411415138,3.37212182625819e-05,0.00254465500889175,0.00230014204570032,1954,"tags=28%, list=20%, signal=24%","11350/16480/17929/13430/12389/12345/211556/223701/17913/58194/68732/18759/12798/24136/56376/18016/19219/68178/12569/18003/14158/50884/234695/12775/21872/19084/230101/246177/109711/67399/56431/217325/229707/27360/63986/17880/100986/22290/219181/56699/20411/11826/76884/74392/71960/12043/76820/194401/216439/109880/20202/17868/72042/217692/76707/72754/109624/19261/56193/230661/20947/17260/260409/17886/12333/207278/77569/338367/326618/67384/28006/106952/216961/13631/66616/20807/75547/18826/17295/109620/171580/29816/56320/277360/53311/22351/16504/227753/53860/72821/13822/65970/20401/18484/70729/215789/22793/68339/73910/20266/83814/18578/241112/319565/211401/98932/101497/237860/215114/99889/12568/14744/15185/28240/18709/640524/21803/214459/225115/333433/246710/170762/23912/319710/235574/269587/212285/110279/16518/109689/76566/240505/50918"
"GO:0042116","macrophage activation",87,0.488211230376553,1.92798249539298,3.56901153449791e-05,0.00263075207084548,0.00237796614032967,1084,"tags=33%, list=11%, signal=30%","142980/268567/217203/14824/64685/22259/70110/15944/108670/12362/27419/16153/81897/20698/13011/85305/16859/12479/217166/66815/11920/17470/11988/11629/16476/16835/77777/106759/16534"
"GO:0007040","lysosome organization",99,0.470166995039949,1.9001663869295,3.64711805947998e-05,0.00263075207084548,0.00237796614032967,2398,"tags=45%, list=24%, signal=35%","18439/14824/15944/16145/226421/16783/68953/27419/15212/67028/94178/433375/54170/12751/170833/231855/54396/114128/192236/15211/76959/15932/110006/72392/75608/56438/20615/14466/14387/77573/11984/26889/66508/12752/21982/19056/432486/66700/214585/216742/66725/73658/65114/21425/216805"
"GO:0080171","lytic vacuole organization",99,0.470166995039949,1.9001663869295,3.64711805947998e-05,0.00263075207084548,0.00237796614032967,2398,"tags=45%, list=24%, signal=35%","18439/14824/15944/16145/226421/16783/68953/27419/15212/67028/94178/433375/54170/12751/170833/231855/54396/114128/192236/15211/76959/15932/110006/72392/75608/56438/20615/14466/14387/77573/11984/26889/66508/12752/21982/19056/432486/66700/214585/216742/66725/73658/65114/21425/216805"
"GO:0002706","regulation of lymphocyte mediated immunity",135,0.434023812399936,1.83999465563879,4.05926704810024e-05,0.00284812229115929,0.00257444950702569,1417,"tags=30%, list=14%, signal=26%","11846/14129/18439/215900/21355/27218/27007/71740/58185/71890/22628/18950/16197/54698/21939/16783/15042/20723/30925/14991/12010/16193/15040/15039/12122/16859/12479/21354/110557/15216/16160/77777/22030/16173/56532/14972/15015/235587/60533/74131/15977"
"GO:0071222","cellular response to lipopolysaccharide",192,0.396010661273163,1.74881004362032,4.06459858065546e-05,0.00284812229115929,0.00257444950702569,1200,"tags=28%, list=12%, signal=25%","626578/100702/20296/434219/18787/18126/12369/246256/55932/12774/66824/22259/26362/14469/27007/12257/327957/22169/15944/17079/108670/16145/15900/11898/12362/15945/12010/16193/16153/17329/12514/81897/212937/20128/236193/16819/12567/229898/17002/217166/110794/209387/54448/17470/279028/16160/19260/106759/54396/70310/17319/16173/230594"
"GO:0071219","cellular response to molecule of bacterial origin",202,0.384350800570271,1.70784798760231,4.18100750958467e-05,0.00288842842739617,0.00261088267314613,1200,"tags=26%, list=12%, signal=24%","626578/100702/20296/434219/18787/18126/12369/246256/55932/12774/66824/22259/26362/14469/27007/12257/327957/22169/15944/17079/108670/16145/15900/11898/12362/15945/12010/16193/16153/17329/12514/81897/212937/20128/236193/16819/12567/229898/17002/217166/110794/209387/54448/17470/279028/16160/19260/106759/54396/70310/17319/16173/230594"
