"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035456","response to interferon-beta","34/758","80/25730",0.425,14.4264511873351,20.9547237211678,5.32599326798788e-31,2.54422698411781e-27,2.05919718666521e-27,"Ddx41/Tlr3/Htra2/Ifi214/Shfl/Ifitm3/Gbp6/Pnpt1/Gm5431/Iigp1c/Ifi213/Ifit3/Ifi209/Trim6/Ifi205/Ifi207/Bst2/Oas1g/Ifi206/Oas1a/Iigp1/Gbp3/Xaf1/Ifi211/Gm12185/Ifit1/Ifi203/Irgm1/Tgtp2/Ifi47/Ifi208/Mndal/Gbp2/Tgtp1",34
"GO:0009615","response to virus","67/758","443/25730",0.151241534988713,5.13383205179366,15.2906317886171,1.64010511859044e-28,3.91739107575328e-25,3.17058215820142e-25,"Pycard/Unc93b1/Il12rb1/Trim28/Fgl2/Ifi44/Ddx41/Apobec1/Mx1/Cd40/Npc2/Otud4/Tlr3/Il27/Ifi27l2a/Tlr7/Sertad3/Mx2/Ccl5/Casp1/Shfl/Ifitm3/Ifit1bl1/Rnase6/Rnf135/Hyal2/Ifit3/Lgals9/Pou2f2/Usp18/Ifit3b/Trim30c/Gbp4/Trim6/Irf7/Bax/Mov10/Ifi207/Bst2/Oas1g/Nmi/Htra1/Ifit2/Nt5c3/Trim21/Tlr9/Il6/Oas1a/Mlkl/Dhx58/Isg20/Ifit1/Il23r/Znfx1/Irgm1/Isg15/Rsad2/Trim30a/Gbp2/Tgtp1/Zbp1/Trim34b/Ifit1bl2/Oasl1/Trim30d/Stat2/Rtp4",67
"GO:0035458","cellular response to interferon-beta","30/758","70/25730",0.428571428571429,14.5476818695816,19.7744802340473,1.23555439712789e-27,1.96741445169331e-24,1.59234782478974e-24,"Ddx41/Tlr3/Htra2/Ifi214/Gbp6/Pnpt1/Gm5431/Iigp1c/Ifi213/Ifit3/Ifi209/Trim6/Ifi205/Ifi207/Oas1g/Ifi206/Oas1a/Iigp1/Gbp3/Ifi211/Gm12185/Ifit1/Ifi203/Irgm1/Tgtp2/Ifi47/Ifi208/Mndal/Gbp2/Tgtp1",30
"GO:0051607","defense response to virus","58/758","351/25730",0.165242165242165,5.60907771989566,15.1478058440893,7.72951517879449e-27,9.23097350227532e-24,7.47118664518741e-24,"Pycard/Unc93b1/Il12rb1/Trim28/Fgl2/Ddx41/Apobec1/Cd40/Otud4/Tlr3/Il27/Tlr7/Sertad3/Mx2/Ccl5/Casp1/Shfl/Ifitm3/Ifit1bl1/Rnase6/Rnf135/Hyal2/Ifit3/Usp18/Ifit3b/Trim30c/Gbp4/Trim6/Irf7/Mov10/Ifi207/Bst2/Oas1g/Htra1/Ifit2/Nt5c3/Trim21/Tlr9/Il6/Oas1a/Mlkl/Dhx58/Isg20/Ifit1/Il23r/Znfx1/Irgm1/Isg15/Rsad2/Trim30a/Gbp2/Zbp1/Trim34b/Ifit1bl2/Oasl1/Trim30d/Stat2/Rtp4",58
"GO:0002833","positive regulation of response to biotic stimulus","58/758","478/25730",0.121338912133891,4.11879974829158,11.9914842575933,5.67525963486451e-20,5.42214305514955e-17,4.38846918712786e-17,"P2rx7/Pycard/Unc93b1/Bid/Ddx41/Nr1h3/Grn/Lamp1/Scimp/Crtam/Otud4/Gsdmd/Tlr3/Ifi214/Tlr7/H2-M3/Arg1/Klrk1/Rab7b/Cd180/Casp1/Nono/Ywhag/Ifi213/Rnf135/Lgals9/Ifi209/Trim30c/Trim6/Irf7/Ifi205/Slamf6/Ifi207/Marchf5/Smpdl3b/Oas1g/Nmi/Ifi206/Ifi35/Tlr9/Oas1a/Naglu/Gbp3/Dhx58/Ifi211/Ifi203/Znfx1/Irgm1/Esr1/Ifi208/Mndal/Ltf/Rsad2/Trim30a/Gbp2/Zbp1/Oasl1/Trim30d",58
"GO:0045089","positive regulation of innate immune response","54/758","443/25730",0.121896162528217,4.13771538502773,11.606095750581,9.26093725300934e-19,7.3732495429376e-16,5.96761798777251e-16,"P2rx7/Pycard/Unc93b1/Bid/Ddx41/Nr1h3/Lamp1/Scimp/Crtam/Otud4/Gsdmd/Tlr3/Ifi214/Tlr7/H2-M3/Klrk1/Rab7b/Casp1/Nono/Ifi213/Rnf135/Lgals9/Ifi209/Trim30c/Trim6/Irf7/Ifi205/Slamf6/Ifi207/Marchf5/Smpdl3b/Oas1g/Nmi/Ifi206/Ifi35/Tlr9/Oas1a/Naglu/Gbp3/Dhx58/Ifi211/Ifi203/Znfx1/Irgm1/Esr1/Ifi208/Mndal/Ltf/Rsad2/Trim30a/Gbp2/Zbp1/Oasl1/Trim30d",54
"GO:0019882","antigen processing and presentation","30/758","142/25730",0.211267605633803,7.17139247092051,12.8477938849298,1.55133263705615e-17,1.05867371531675e-14,8.5684883848229e-15,"Psap/Pycard/Unc93b1/Clec4a1/Ctss/Fgl2/Erap1/Psme1/Fcgr4/Tap2/H2-M3/Psme2/Get3/Marchf8/Clec4a3/Fcgr1/B2m/Tapbpl/Clec4a4/Psmb8/H2-Q6/Psmb9/H2-T22/H2-T23/Cd1d1/Tapbp/Cd68/H2-T24/Mpeg1/Cst7",30
"GO:0002218","activation of innate immune response","47/758","369/25730",0.127371273712737,4.3235657950247,11.2034987473978,3.08703733566077e-17,1.84334716905644e-14,1.491932649195e-14,"P2rx7/Pycard/Unc93b1/Ddx41/Nr1h3/Scimp/Otud4/Gsdmd/Tlr3/Ifi214/Tlr7/Klrk1/Rab7b/Casp1/Nono/Ifi213/Rnf135/Ifi209/Trim30c/Irf7/Ifi205/Ifi207/Marchf5/Smpdl3b/Oas1g/Nmi/Ifi206/Ifi35/Tlr9/Oas1a/Naglu/Gbp3/Dhx58/Ifi211/Ifi203/Znfx1/Irgm1/Esr1/Ifi208/Mndal/Ltf/Rsad2/Trim30a/Gbp2/Zbp1/Oasl1/Trim30d",47
"GO:0034341","response to type II interferon","30/758","152/25730",0.197368421052632,6.69959033467574,12.2786759223938,1.14270598578269e-16,6.06522943787104e-14,4.90895799506414e-14,"Ccl2/Gbp10/Il12rb1/Stxbp3/Ass1/Tlr3/Nub1/Arg1/Gbp8/Rab7b/Ccl5/Casp1/Shfl/Ifitm3/Gbp6/Edn1/Gbp4/Evl/Bst2/Irf8/Trim21/Gbp9/Gbp3/Epsti1/Il23r/Irgm1/Daxx/Gbp2/Tgtp1/Nos2",30
"GO:0016032","viral process","41/758","303/25730",0.135313531353135,4.59316248247516,10.9615003561427,4.03170968161647e-16,1.92594771490819e-13,1.55878628006077e-13,"Axl/Mvb12a/Trim28/Chmp2a/Usf1/Siglec1/Gpr15/Siva1/Mx2/Ccl5/Chmp1b2/Shfl/Ifitm3/Slamf1/Ch25h/Mdfic/Nectin4/Hyal2/Ctsb/Trim30c/Trim6/Pcbp1/Ifi207/Bst2/Larp1/Oas1g/Trim14/Trim21/Naip5/Oas1a/Ptx3/Isg20/Ifit1/Znfx1/Isg15/Npc1/Ltf/Rsad2/Trim30a/Oasl1/Trim30d",41
