"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","mmu04979","Cholesterol metabolism","7/393","51/11214",0.137254901960784,3.91647956892681,3.97811241847454,0.00188186367416678,0.017324215588653,0.0140994120479369,"67963/12257/320024/20652/59045/18145/16891",7
"Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance","9/393","81/11214",0.111111111111111,3.1704834605598,3.73608177486245,0.00204092285452487,0.0182516815276081,0.0148542355126321,"12018/12122/13063/23797/17686/12028/14862/14872/12370",9
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","13/393","149/11214",0.087248322147651,2.48957426097648,3.48821360922917,0.00220962807341127,0.0192114885271591,0.0156353799346646,"20296/16542/20971/20293/23797/11898/50868/22166/13614/23939/14862/14872/20969",13
"Cellular Processes","Transport and catabolism","mmu04145","Phagocytosis","21/393","306/11214",0.0686274509803922,1.9582397844634,3.2388127063141,0.0025729752597447,0.0217659799000025,0.0177143673643874,"22152/13040/53857/16790/16783/246256/21355/27060/14991/20288/12512/226421/14129/13030/242341/110557/13033/15039/15040/15042/17002",21
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","10/393","103/11214",0.0970873786407767,2.7703253538872,3.43968454845928,0.00323093348009412,0.0266126889281437,0.0216588892571406,"20296/18787/20293/23797/20304/12260/81897/16193/12370/18126",10
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","20/393","294/11214",0.0680272108843537,1.94111232279171,3.11621413955582,0.00356365513543113,0.0286006168561524,0.0232767757833828,"20296/16161/20293/20306/16192/21939/12977/12774/16197/246779/60504/20304/22035/16169/16188/23886/227288/16193/209590/16184",20
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","16/393","217/11214",0.0737327188940092,2.10391529180005,3.12933452449077,0.00406073265704865,0.0317752330414057,0.0258604553422572,"20296/66824/12122/12369/20293/13063/21939/23797/20304/12362/22035/18987/54123/12028/16193/12370",16
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","14/393","180/11214",0.0777777777777778,2.21933842239186,3.14280553611186,0.00437242861233473,0.0333797598941651,0.0271663087082158,"20970/20971/20343/20612/21939/16456/14991/104099/110557/15039/20969/15040/13003/15042",14
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","14/393","182/11214",0.0769230769230769,2.19495008807986,3.09728964623495,0.00482131041846222,0.0359302419280637,0.0292420331144826,"12193/18787/23797/14991/19650/73181/12289/110557/15039/12567/15040/16193/26395/15042",14
"Metabolism","Metabolism of cofactors and vitamins","mmu00860","Porphyrin metabolism","6/393","47/11214",0.127659574468085,3.64268312489849,3.45978610480941,0.00567939762422927,0.0413407315438084,0.0336453910664255,"226139/233016/109778/15369/434624/14325",6
